OFF_BY_COMPANY,CAR_NAME ,Transmission _Type,KM_DIVEN_BY,OWNER_TYPE,FUEL_TYPE,EMI,SELLING_PRICE,DOWNPAYMENT,TOTAL_PRICE
"₹37,000 OFF",2016 Maruti Ciaz,Manual,"63,494 km",1st Owner,Petrol,"₹15,469/month","₹ 6,95,399.00",Zero downpayment,"₹ 7,32,399.00"
"₹41,000 OFF",2016 Hyundai Creta,Manual,"95,195 km",1st Owner,Diesel,"₹19,186/month","₹ 8,62,499.00",Zero downpayment,"₹ 9,03,499.00"
"₹30,000 OFF",2016 Maruti Baleno,Manual,"57,606 km",1st Owner,Petrol,"₹12,566/month","₹ 5,64,899.00",Zero downpayment,"₹ 5,94,899.00"
"₹22,000 OFF",2015 Hyundai Grand i10,Manual,"63,396 km",2nd Owner,Petrol,"₹8,944/month","₹ 4,02,099.00",Zero downpayment,"₹ 4,24,099.00"
"₹42,000 OFF",2014 Toyota Innova,Manual,"1,10,827 km",1st Owner,Diesel,"₹17,673/month","₹ 7,94,499.00",Zero downpayment,"₹ 8,36,499.00"
"₹15,000 OFF",2017 Maruti S Cross,Manual,"96,542 km",2nd Owner,Diesel,"₹18,031/month","₹ 8,10,599.00",Zero downpayment,"₹ 8,25,599.00"
"₹31,000 OFF",2016 Maruti Baleno,Manual,"63,654 km",1st Owner,Diesel,"₹12,737/month","₹ 5,72,599.00",Zero downpayment,"₹ 6,03,599.00"
"₹36,000 OFF",2013 Maruti Swift Dzire,Manual,"49,944 km",2nd Owner,Diesel,"₹7,672/month","₹ 3,44,899.00",Zero downpayment,"₹ 3,80,899.00"
"₹50,000 OFF",2013 Toyota Fortuner,Automatic,"1,97,373 km",1st Owner,Diesel,"₹28,609/month","₹ 12,86,099.00",Zero downpayment,"₹ 13,36,099.00"
"₹27,000 OFF",2018 Ford Ecosport,Manual,"21,169 km",1st Owner,Diesel,"₹19,304/month","₹ 8,67,799.00",Zero downpayment,"₹ 8,94,799.00"
"₹34,000 OFF",2016 Maruti Ciaz,Manual,"85,550 km",1st Owner,Diesel,"₹14,058/month","₹ 6,31,999.00",Zero downpayment,"₹ 6,65,999.00"
"₹25,000 OFF",2016 Maruti Swift Dzire,,"1,58,642 km",1st Owner,Diesel,"₹10,357/month","₹ 4,65,599.00",Zero downpayment,"₹ 4,90,599.00"
"₹5,000 OFF",2018 Ford Ecosport,Manual,"22,443 km",2nd Owner,Petrol,"₹17,015/month","₹ 7,64,899.00",Zero downpayment,"₹ 7,69,899.00"
"₹21,000 OFF",2018 Ford Ecosport,Manual,"25,232 km",1st Owner,Petrol,"₹17,960/month","₹ 8,07,399.00",Zero downpayment,"₹ 8,28,399.00"
"₹7,000 OFF",2017 Maruti Baleno,Manual,"51,398 km",1st Owner,Petrol,"₹12,375/month","₹ 5,56,299.00",Zero downpayment,"₹ 5,63,299.00"
"₹16,000 OFF",2012 Maruti Swift,Manual,"1,20,326 km",2nd Owner,Diesel,"₹6,762/month","₹ 3,03,999.00",Zero downpayment,"₹ 3,19,999.00"
